学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8
,,,,,,,,向量与标量概念;向量内积与运算,向量范数,向量内积与运算;向量范数,矩阵基本概念,矩阵基本概念;矩阵乘法与逆矩阵,向量范数;矩阵基本概念,梯度与偏导数,向量内积与运算;矩阵基本概念;梯度与偏导数
S20240011,张明,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,26,1,3/3,0/3,3/3,3/3,0/3,3/4,4/4,10/10
S20240012,李华,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,20,7,3/3,3/3,3/3,3/3,3/3,3/4,0/4,2/10
S20240013,王芳,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,6,9,0/3,0/3,0/3,0/3,0/3,1/4,4/4,1/10
S20240014,赵强,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,24,3,3/3,0/3,3/3,0/3,0/3,4/4,4/4,10/10
S20240015,陈静,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,25,2,3/3,3/3,3/3,3/3,3/3,0/4,0/4,10/10
S20240016,刘洋,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,23,5,3/3,0/3,3/3,3/3,3/3,1/4,0/4,10/10
S20240017,杨帆,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,20,8,3/3,3/3,3/3,3/3,0/3,4/4,4/4,0/10
S20240018,黄丽,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,4,10,0/3,0/3,0/3,0/3,3/3,0/4,0/4,1/10
S20240019,周磊,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,23,6,3/3,3/3,3/3,3/3,3/3,4/4,4/4,0/10
S20240020,吴婷,机器学习(1)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,24,4,0/3,0/3,3/3,0/3,3/3,4/4,4/4,10/10
S20240021,郑伟,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,19,4,0/3,3/3,3/3,3/3,0/3,3/4,4/4,3/10
S20240022,孙悦,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,21,2,0/3,3/3,0/3,0/3,0/3,4/4,4/4,10/10
S20240023,马超,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,23,1,3/3,3/3,3/3,0/3,0/3,4/4,0/4,10/10
S20240024,朱敏,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,13,7,0/3,0/3,3/3,0/3,0/3,0/4,0/4,10/10
S20240025,胡浩,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,20,3,0/3,3/3,3/3,0/3,0/3,4/4,0/4,10/10
S20240026,林燕,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,16,6,0/3,3/3,0/3,0/3,3/3,0/4,0/4,10/10
S20240027,何飞,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,7,9,0/3,0/3,3/3,0/3,0/3,0/4,4/4,0/10
S20240028,郭雪,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,7,10,0/3,0/3,0/3,0/3,0/3,0/4,4/4,3/10
S20240029,徐刚,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,11,8,0/3,0/3,0/3,0/3,3/3,4/4,1/4,3/10
S20240030,梁欣,机器学习(2)班,E2026041001,数学基础随堂测验(学期初),2026-04-10,17,5,3/3,3/3,0/3,3/3,0/3,4/4,4/4,0/10
