学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8,题9,题10,题11,题12
,,,,,,,,数据模型组成要素;数据库二级映像与数据独立性,数据模型组成要素;数据与数据库基本概念,数据库系统特点,数据模型组成要素,常用逻辑数据模型,概念模型与E-R方法;常用逻辑数据模型,数据库系统组成;数据管理技术演进,数据库系统三级模式结构,概念模型与E-R方法;数据库系统组成;数据管理技术演进,概念模型与E-R方法,数据库系统特点;数据与数据库基本概念,数据库系统三级模式结构;数据库系统组成
S20240011,张明,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,43,1,3/3,0/3,0/3,3/3,3/3,3/3,0/3,3/3,4/4,4/4,10/10,10/10
S20240012,李华,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,30,5,0/3,3/3,0/3,3/3,0/3,3/3,0/3,3/3,4/4,4/4,0/10,10/10
S20240013,王芳,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,25,7,0/3,3/3,0/3,3/3,0/3,0/3,3/3,0/3,4/4,0/4,2/10,10/10
S20240014,赵强,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,34,3,0/3,0/3,0/3,3/3,0/3,0/3,3/3,0/3,4/4,4/4,10/10,10/10
S20240015,陈静,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,37,2,3/3,0/3,3/3,0/3,3/3,0/3,3/3,0/3,1/4,4/4,10/10,10/10
S20240016,刘洋,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,20,9,0/3,3/3,3/3,0/3,0/3,0/3,0/3,3/3,1/4,0/4,0/10,10/10
S20240017,杨帆,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,24,8,3/3,0/3,3/3,0/3,3/3,0/3,3/3,0/3,2/4,4/4,1/10,5/10
S20240018,黄丽,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,26,6,0/3,3/3,0/3,3/3,0/3,3/3,3/3,0/3,1/4,1/4,10/10,2/10
S20240019,周磊,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,31,4,3/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,4/4,1/4,3/10,2/10
S20240020,吴婷,机器学习(1)班,E2026070501,数据库系统概论单元测验,2026-07-05,16,10,0/3,0/3,3/3,3/3,3/3,3/3,0/3,0/3,0/4,4/4,0/10,0/10
S20240021,郑伟,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,31,6,3/3,0/3,3/3,0/3,0/3,3/3,3/3,0/3,4/4,0/4,5/10,10/10
S20240022,孙悦,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,21,9,0/3,3/3,3/3,0/3,3/3,0/3,0/3,0/3,4/4,4/4,2/10,2/10
S20240023,马超,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,45,2,3/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,4/4,0/4,10/10,10/10
S20240024,朱敏,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,33,5,3/3,0/3,0/3,3/3,0/3,3/3,3/3,3/3,4/4,4/4,10/10,0/10
S20240025,胡浩,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,46,1,3/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,1/4,4/4,10/10,10/10
S20240026,林燕,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,15,10,0/3,3/3,3/3,0/3,3/3,3/3,0/3,0/3,0/4,0/4,2/10,1/10
S20240027,何飞,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,43,3,3/3,3/3,3/3,3/3,3/3,3/3,0/3,0/3,2/4,3/4,10/10,10/10
S20240028,郭雪,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,30,7,3/3,0/3,3/3,0/3,0/3,3/3,3/3,3/3,1/4,4/4,0/10,10/10
S20240029,徐刚,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,35,4,0/3,3/3,3/3,3/3,0/3,3/3,3/3,3/3,3/4,4/4,10/10,0/10
S20240030,梁欣,机器学习(2)班,E2026070501,数据库系统概论单元测验,2026-07-05,25,8,0/3,3/3,3/3,3/3,0/3,3/3,0/3,0/3,4/4,4/4,3/10,2/10
