学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8,题9,题10,题11,题12,题13,题14,题15,题16,题17,题18,题19,题20,题21,题22,题23,题24,题25,题26,题27,题28,题29,题30
,,,,,,,,矩阵的秩与线性相关性,凸函数性质与定义;向量内积与运算,优化问题与极值条件,凸函数性质与定义;梯度与偏导数,优化问题与极值条件;凸函数性质与定义;雅可比矩阵与黑塞矩阵;梯度与偏导数,优化问题与极值条件;雅可比矩阵与黑塞矩阵;矩阵基本概念;向量与标量概念,向量内积与运算;优化问题与极值条件,向量内积与运算;雅可比矩阵与黑塞矩阵,雅可比矩阵与黑塞矩阵,矩阵的秩与线性相关性;矩阵基本概念;梯度与偏导数,矩阵的秩与线性相关性;优化问题与极值条件,梯度与偏导数;凸函数性质与定义;向量内积与运算;矩阵的秩与线性相关性,向量内积与运算;凸函数性质与定义,矩阵乘法与逆矩阵;优化问题与极值条件,向量范数;矩阵乘法与逆矩阵,矩阵的秩与线性相关性,雅可比矩阵与黑塞矩阵;梯度与偏导数,梯度与偏导数,凸函数性质与定义;雅可比矩阵与黑塞矩阵,向量内积与运算;梯度与偏导数;雅可比矩阵与黑塞矩阵;矩阵基本概念,矩阵乘法与逆矩阵;梯度与偏导数,雅可比矩阵与黑塞矩阵;凸函数性质与定义,向量与标量概念;矩阵基本概念,向量范数;向量与标量概念;向量内积与运算;矩阵的秩与线性相关性,梯度与偏导数;雅可比矩阵与黑塞矩阵,雅可比矩阵与黑塞矩阵,向量内积与运算,雅可比矩阵与黑塞矩阵;优化问题与极值条件;矩阵乘法与逆矩阵,梯度与偏导数;矩阵乘法与逆矩阵,凸函数性质与定义;雅可比矩阵与黑塞矩阵
S20240011,张明,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,89,2,0/3,3/3,3/3,0/3,3/3,3/3,0/3,0/3,0/3,0/3,3/3,3/3,0/3,3/3,0/3,4/4,4/4,0/4,2/4,4/4,3/4,2/4,4/4,1/4,3/4,4/10,10/10,10/10,10/10,7/10
S20240012,李华,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,79,4,3/3,0/3,3/3,3/3,0/3,0/3,0/3,3/3,3/3,3/3,0/3,3/3,0/3,3/3,3/3,3/4,1/4,3/4,2/4,4/4,1/4,0/4,4/4,4/4,4/4,2/10,10/10,10/10,0/10,4/10
S20240013,王芳,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,65,7,3/3,0/3,3/3,0/3,3/3,3/3,3/3,3/3,0/3,0/3,0/3,3/3,0/3,3/3,3/3,0/4,0/4,4/4,0/4,0/4,4/4,0/4,0/4,4/4,1/4,10/10,2/10,10/10,0/10,3/10
S20240014,赵强,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,96,1,3/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,0/3,0/3,0/3,0/3,3/3,0/3,2/4,4/4,1/4,0/4,2/4,4/4,4/4,4/4,4/4,1/4,10/10,10/10,3/10,10/10,10/10
S20240015,陈静,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,63,8,0/3,3/3,0/3,0/3,0/3,3/3,0/3,0/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,0/4,4/4,4/4,4/4,4/4,4/4,0/4,4/4,0/4,0/4,3/10,2/10,3/10,1/10,6/10
S20240016,刘洋,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,56,9,3/3,0/3,0/3,3/3,3/3,0/3,0/3,0/3,3/3,0/3,0/3,3/3,0/3,3/3,3/3,0/4,0/4,4/4,0/4,4/4,0/4,3/4,4/4,1/4,0/4,4/10,3/10,2/10,0/10,10/10
S20240017,杨帆,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,85,3,3/3,3/3,3/3,0/3,3/3,0/3,3/3,3/3,3/3,0/3,0/3,0/3,3/3,3/3,0/3,4/4,0/4,4/4,0/4,1/4,2/4,0/4,2/4,4/4,4/4,10/10,9/10,4/10,4/10,10/10
S20240018,黄丽,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,45,10,0/3,0/3,3/3,0/3,0/3,0/3,0/3,3/3,3/3,0/3,0/3,3/3,0/3,3/3,0/3,0/4,1/4,0/4,0/4,4/4,0/4,0/4,4/4,0/4,4/4,3/10,0/10,0/10,4/10,10/10
S20240019,周磊,机器学习(1)班,E2026061601,机器学习数学基础测验,2026-06-16,78,5,3/3,3/3,3/3,0/3,0/3,0/3,0/3,3/3,3/3,3/3,3/3,3/3,0/3,3/3,0/3,0/4,0/4,4/4,4/4,4/4,1/4,4/4,4/4,4/4,0/4,10/10,2/10,10/10,0/10,4/10
