学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8,题9,题10
,,,,,,,,线性回归工程实践;学习率调优,线性回归工程实践,线性回归基本概念;损失函数与优化目标,随机梯度下降算法;正规方程求解,线性回归基本概念;随机梯度下降算法;正规方程求解,损失函数与优化目标;随机梯度下降算法,随机梯度下降算法;学习率调优;线性回归基本概念,梯度下降原理;学习率调优,线性回归模型表示,学习率调优;损失函数与优化目标
S20240011,张明,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,35,2,0/3,3/3,0/3,3/3,3/3,3/3,1/4,2/4,10/10,10/10
S20240012,李华,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,23,5,0/3,3/3,0/3,0/3,0/3,0/3,4/4,4/4,5/10,7/10
S20240013,王芳,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,19,7,0/3,3/3,3/3,3/3,0/3,0/3,4/4,4/4,0/10,2/10
S20240014,赵强,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,41,1,0/3,3/3,3/3,3/3,3/3,3/3,4/4,2/4,10/10,10/10
S20240015,陈静,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,15,9,0/3,0/3,0/3,0/3,0/3,3/3,4/4,4/4,3/10,1/10
S20240016,刘洋,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,18,8,0/3,3/3,3/3,0/3,0/3,3/3,4/4,0/4,4/10,1/10
S20240017,杨帆,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,34,3,0/3,3/3,3/3,0/3,3/3,3/3,4/4,4/4,4/10,10/10
S20240018,黄丽,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,13,10,3/3,0/3,0/3,0/3,3/3,0/3,0/4,1/4,3/10,3/10
S20240019,周磊,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,31,4,0/3,3/3,0/3,3/3,3/3,3/3,4/4,2/4,10/10,3/10
S20240020,吴婷,机器学习(1)班,E2026071001,线性回归单元测验,2026-07-10,21,6,0/3,3/3,0/3,3/3,3/3,3/3,4/4,0/4,4/10,1/10
S20240021,郑伟,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,42,1,3/3,3/3,3/3,0/3,3/3,3/3,4/4,4/4,10/10,9/10
S20240022,孙悦,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,15,9,3/3,0/3,0/3,0/3,0/3,3/3,4/4,4/4,1/10,0/10
S20240023,马超,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,30,4,3/3,3/3,3/3,3/3,0/3,0/3,4/4,4/4,10/10,0/10
S20240024,朱敏,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,37,2,0/3,3/3,0/3,3/3,3/3,0/3,4/4,4/4,10/10,10/10
S20240025,胡浩,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,23,7,3/3,0/3,0/3,0/3,3/3,0/3,0/4,4/4,3/10,10/10
S20240026,林燕,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,13,10,0/3,3/3,3/3,3/3,0/3,0/3,4/4,0/4,0/10,0/10
S20240027,何飞,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,37,3,3/3,3/3,3/3,0/3,0/3,0/3,4/4,4/4,10/10,10/10
S20240028,郭雪,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,18,8,0/3,0/3,0/3,0/3,0/3,3/3,4/4,4/4,4/10,3/10
S20240029,徐刚,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,30,5,3/3,3/3,3/3,3/3,3/3,3/3,4/4,0/4,4/10,4/10
S20240030,梁欣,机器学习(2)班,E2026071001,线性回归单元测验,2026-07-10,26,6,3/3,3/3,0/3,3/3,3/3,0/3,0/4,4/4,10/10,0/10
