学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8,题9,题10,题11,题12,题13,题14,题15
,,,,,,,,向量与标量概念;向量内积与运算,向量范数,矩阵基本概念;矩阵乘法与逆矩阵,梯度与偏导数;凸函数性质与定义,雅可比矩阵与黑塞矩阵;优化问题与极值条件,正规方程求解;梯度下降原理,学习率调优;随机梯度下降算法,线性回归工程实践;损失函数与优化目标,线性回归基本概念;线性回归模型表示,向量范数;损失函数与优化目标;梯度下降原理,矩阵乘法与逆矩阵;正规方程求解,凸函数性质与定义;优化问题与极值条件;学习率调优,梯度与偏导数;梯度下降原理;凸函数性质与定义,矩阵基本概念;正规方程求解;线性回归模型表示,损失函数与优化目标;随机梯度下降算法;学习率调优;线性回归工程实践
S20240011,张明,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,43,4,3/3,3/3,0/3,3/3,3/3,3/3,0/3,0/3,3/3,4/4,4/4,0/4,2/10,10/10,5/10
S20240012,李华,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,55,2,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,4/4,4/4,0/4,0/10,10/10,10/10
S20240013,王芳,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,26,7,3/3,0/3,0/3,0/3,3/3,3/3,0/3,0/3,0/3,4/4,0/4,0/4,2/10,9/10,2/10
S20240014,赵强,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,65,1,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/4,1/4,4/4,10/10,10/10,10/10
S20240015,陈静,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,23,8,0/3,3/3,3/3,0/3,0/3,3/3,0/3,0/3,0/3,4/4,0/4,0/4,0/10,0/10,10/10
S20240016,刘洋,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,40,5,0/3,3/3,0/3,0/3,3/3,3/3,0/3,0/3,3/3,4/4,4/4,4/4,10/10,2/10,4/10
S20240017,杨帆,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,35,6,0/3,3/3,0/3,3/3,0/3,3/3,3/3,0/3,3/3,4/4,4/4,0/4,10/10,2/10,0/10
S20240018,黄丽,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,17,10,0/3,3/3,3/3,3/3,0/3,0/3,0/3,0/3,0/3,0/4,1/4,1/4,2/10,4/10,0/10
S20240019,周磊,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,46,3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,0/4,0/4,4/4,10/10,4/10,4/10
S20240020,吴婷,机器学习(1)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,22,9,0/3,3/3,0/3,0/3,0/3,0/3,3/3,3/3,3/3,0/4,0/4,0/4,3/10,3/10,4/10
S20240021,郑伟,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,55,1,3/3,0/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,0/4,2/4,0/4,10/10,9/10,10/10
S20240022,孙悦,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,19,10,0/3,0/3,3/3,3/3,0/3,0/3,0/3,0/3,3/3,4/4,1/4,1/4,1/10,0/10,3/10
S20240023,马超,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,50,2,3/3,3/3,3/3,0/3,0/3,3/3,3/3,3/3,3/3,2/4,0/4,4/4,3/10,10/10,10/10
S20240024,朱敏,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,34,7,3/3,0/3,3/3,0/3,0/3,0/3,0/3,0/3,3/3,0/4,4/4,3/4,8/10,0/10,10/10
S20240025,胡浩,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,32,8,0/3,0/3,0/3,0/3,3/3,0/3,3/3,0/3,3/3,4/4,0/4,4/4,4/10,10/10,1/10
S20240026,林燕,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,20,9,3/3,3/3,0/3,0/3,0/3,0/3,0/3,0/3,3/3,0/4,0/4,2/4,2/10,3/10,4/10
S20240027,何飞,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,42,5,0/3,0/3,3/3,0/3,3/3,3/3,3/3,3/3,3/3,1/4,4/4,4/4,10/10,3/10,2/10
S20240028,郭雪,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,46,3,3/3,3/3,0/3,0/3,3/3,3/3,3/3,3/3,3/3,4/4,4/4,3/4,3/10,10/10,1/10
S20240029,徐刚,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,43,4,0/3,3/3,0/3,0/3,3/3,0/3,3/3,0/3,0/3,4/4,2/4,4/4,4/10,10/10,10/10
S20240030,梁欣,机器学习(2)班,E2026071501,数学基础与线性回归综合考试,2026-07-15,38,6,3/3,0/3,0/3,0/3,0/3,3/3,0/3,3/3,3/3,2/4,4/4,0/4,10/10,0/10,10/10
