学号,姓名,班级,考试编号,考试名称,日期,总分,班级排名,题1,题2,题3,题4,题5,题6,题7,题8,题9,题10,题11,题12,题13,题14,题15,题16,题17,题18
,,,,,,,,一元二次方程解法,二次函数图像与性质,圆的基本性质,相似三角形判定,概率初步,锐角三角函数,一元一次不等式组,平行四边形性质,二次函数顶点式,勾股定理及应用,圆周角定理,相似三角形性质与比例线段,二次函数实际应用最大值,圆的切线判定与性质,相似三角形综合应用,锐角三角函数实际应用,二次函数综合,圆与相似综合
S20240001,张三,初三(1)班,E2025031501,第一次月考,2025-03-15,76,3,3/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,4/4,4/4,0/4,4/4,8/10,7/10,6/12,10/10,9/12,6/12
S20240002,李四,初三(1)班,E2025031501,第一次月考,2025-03-15,60,4,3/3,0/3,3/3,3/3,3/3,3/3,0/3,3/3,4/4,0/4,4/4,2/4,6/10,5/10,8/12,7/10,5/12,4/12
S20240003,王五,初三(2)班,E2025031501,第一次月考,2025-03-15,102,1,3/3,3/3,3/3,3/3,0/3,3/3,3/3,3/3,4/4,4/4,4/4,4/4,10/10,9/10,10/12,8/10,11/12,10/12
S20240004,赵六,初三(2)班,E2025031501,第一次月考,2025-03-15,52,5,3/3,3/3,0/3,3/3,3/3,0/3,3/3,0/3,4/4,2/4,0/4,0/4,5/10,4/10,6/12,5/10,8/12,3/12
S20240005,陈七,初三(1)班,E2025031501,第一次月考,2025-03-15,97,2,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,4/4,4/4,4/4,4/4,9/10,8/10,12/12,10/10,10/12,11/12
S20240006,刘八,初三(3)班,E2025031501,第一次月考,2025-03-15,88,1,3/3,3/3,3/3,0/3,3/3,3/3,3/3,3/3,4/4,4/4,4/4,0/4,7/10,8/10,10/12,6/10,9/12,8/12
S20240007,周九,初三(3)班,E2025031501,第一次月考,2025-03-15,68,3,3/3,0/3,3/3,3/3,0/3,3/3,3/3,0/3,4/4,4/4,0/4,2/4,5/10,6/10,8/12,5/10,7/12,4/12
S20240008,吴十,初三(2)班,E2025031501,第一次月考,2025-03-15,81,3,3/3,3/3,3/3,0/3,3/3,3/3,0/3,3/3,4/4,2/4,4/4,4/4,7/10,8/10,9/12,8/10,8/12,5/12
S20240009,郑十一,初三(1)班,E2025031501,第一次月考,2025-03-15,45,6,0/3,3/3,0/3,0/3,3/3,0/3,3/3,3/3,0/4,2/4,0/4,0/4,4/10,3/10,5/12,6/10,5/12,2/12
S20240010,孙十二,初三(3)班,E2025031501,第一次月考,2025-03-15,110,2,3/3,3/3,3/3,3/3,3/3,3/3,3/3,3/3,4/4,4/4,4/4,4/4,10/10,10/10,11/12,10/10,11/12,10/12
